Systolic blood pressure automated reading,ukb-a-360,Adipose_Subcutaneous,
Systolic blood pressure automated reading,ukb-a-360,Adipose_Visceral_Omentum,
Systolic blood pressure automated reading,ukb-a-360,Adrenal_Gland,
Systolic blood pressure automated reading,ukb-a-360,Artery_Aorta,
Systolic blood pressure automated reading,ukb-a-360,Artery_Coronary,
Systolic blood pressure automated reading,ukb-a-360,Artery_Tibial,
Systolic blood pressure automated reading,ukb-a-360,Brain_Amygdala,
Systolic blood pressure automated reading,ukb-a-360,Brain_Anterior_cingulate_cortex_BA24,
Systolic blood pressure automated reading,ukb-a-360,Brain_Caudate_basal_ganglia,
Systolic blood pressure automated reading,ukb-a-360,Brain_Cerebellar_Hemisphere,
Systolic blood pressure automated reading,ukb-a-360,Brain_Cerebellum,
Systolic blood pressure automated reading,ukb-a-360,Brain_Cortex,
Systolic blood pressure automated reading,ukb-a-360,Brain_Frontal_Cortex_BA9,
Systolic blood pressure automated reading,ukb-a-360,Brain_Hippocampus,
Systolic blood pressure automated reading,ukb-a-360,Brain_Hypothalamus,
Systolic blood pressure automated reading,ukb-a-360,Brain_Nucleus_accumbens_basal_ganglia,
Systolic blood pressure automated reading,ukb-a-360,Brain_Putamen_basal_ganglia,
Systolic blood pressure automated reading,ukb-a-360,Brain_Spinal_cord_cervical_c-1,
Systolic blood pressure automated reading,ukb-a-360,Brain_Substantia_nigra,
Systolic blood pressure automated reading,ukb-a-360,Breast_Mammary_Tissue,
Systolic blood pressure automated reading,ukb-a-360,Cells_Cultured_fibroblasts,
Systolic blood pressure automated reading,ukb-a-360,Cells_EBV-transformed_lymphocytes,
Systolic blood pressure automated reading,ukb-a-360,Colon_Sigmoid,
Systolic blood pressure automated reading,ukb-a-360,Colon_Transverse,
Systolic blood pressure automated reading,ukb-a-360,Esophagus_Gastroesophageal_Junction,
Systolic blood pressure automated reading,ukb-a-360,Esophagus_Mucosa,
Systolic blood pressure automated reading,ukb-a-360,Esophagus_Muscularis,
Systolic blood pressure automated reading,ukb-a-360,Heart_Atrial_Appendage,
Systolic blood pressure automated reading,ukb-a-360,Heart_Left_Ventricle,
Systolic blood pressure automated reading,ukb-a-360,Kidney_Cortex,
Systolic blood pressure automated reading,ukb-a-360,Liver,
Systolic blood pressure automated reading,ukb-a-360,Lung,
Systolic blood pressure automated reading,ukb-a-360,Minor_Salivary_Gland,
Systolic blood pressure automated reading,ukb-a-360,Muscle_Skeletal,
Systolic blood pressure automated reading,ukb-a-360,Nerve_Tibial,
Systolic blood pressure automated reading,ukb-a-360,Ovary,
Systolic blood pressure automated reading,ukb-a-360,Pancreas,
Systolic blood pressure automated reading,ukb-a-360,Pituitary,
Systolic blood pressure automated reading,ukb-a-360,Prostate,
Systolic blood pressure automated reading,ukb-a-360,Skin_Not_Sun_Exposed_Suprapubic,
Systolic blood pressure automated reading,ukb-a-360,Skin_Sun_Exposed_Lower_leg,
Systolic blood pressure automated reading,ukb-a-360,Small_Intestine_Terminal_Ileum,
Systolic blood pressure automated reading,ukb-a-360,Spleen,
Systolic blood pressure automated reading,ukb-a-360,Stomach,
Systolic blood pressure automated reading,ukb-a-360,Testis,
Systolic blood pressure automated reading,ukb-a-360,Thyroid,
Systolic blood pressure automated reading,ukb-a-360,Uterus,
Systolic blood pressure automated reading,ukb-a-360,Vagina,
Systolic blood pressure automated reading,ukb-a-360,Whole_Blood,
